"id","city","zipcode","post","county"
"167","Beder","10432","Bregana","Zagrebačka"
"168","Bednja","42253","Bednja","Varaždinska"
"169","Bednjica","42255","Donja Višnjica","Varaždinska"
"170","Begi","52450","Vrsar (Orsera)","Istarska"
"171","Begluci","23445","Srb","Zadarska"
"172","Begovac Plaščanski","47306","Saborsko","Karlovačka"
"173","Begovača","43284","Hercegovac","Bjelovarsko-bilogorska"
"174","Begovići","44204","Jabukovac","Sisačko-moslavačka"
"175","Begovo Brdo","47222","Cetingrad","Karlovačka"
"176","Begovo Brdo Žumberačko","10455","Kostanjevac","Zagrebačka"
"177","Begovo Razdolje","51315","Mrkopalj","Primorsko-goranska"
"178","Beketinci","31403","Vuka","Osječko-baranjska"
"179","Beketinec","48265","Raven","Koprivničko-križevačka"
"180","Bektež","34343","Bektež","Požeško-slavonska"
"181","Bela","42242","Radovan","Varaždinska"
"182","Bela Gorica","10293","Dubravica","Zagrebačka"
"183","Bela Vodica","51317","Crni Lug","Primorsko-goranska"
"184","Belaj","47250","Duga Resa","Karlovačka"
"185","Belaj","52434","Boljun","Istarska"
"186","Belajska Vinica","47250","Duga Resa","Karlovačka"
"187","Belajske Poljice","47250","Duga Resa","Karlovačka"
"188","Belajski Malinci","47250","Duga Resa","Karlovačka"
"189","Belanovo Selo","48312","Rasinja","Koprivničko-križevačka"
"190","Belavići","47250","Duga Resa","Karlovačka"
"191","Belavići","52207","Barban","Istarska"
"192","Belčići","10453","Gorica Svetojanska","Zagrebačka"
"193","Belec","49254","Belec","Krapinsko-zagorska"
"194","Belej","51555","Belej","Primorsko-goranska"
"195","Beletinec","42214","Sveti Ilija","Varaždinska"
"196","Belgrad","51244","Grižane","Primorsko-goranska"
"197","Beli","51559","Beli","Primorsko-goranska"
"198","Beli Manastir","31300","Beli Manastir","Osječko-baranjska"
"199","Belica","40319","Belica","Međimurska"
"200","Belinsko Selo","47280","Ozalj","Karlovačka"
"201","Belišće","31551","Belišće","Osječko-baranjska"
"202","Belo","51301","Brod na Kupi","Primorsko-goranska"
"203","Belo Selo","51322","Fužine","Primorsko-goranska"
"204","Belobrajići","51243","Tribalj","Primorsko-goranska"
"205","Beloslavec","10381","Bedenica","Zagrebačka"
"206","Belošići","47283","Vivodina","Karlovačka"
"207","Belovar","10363","Belovar","Grad zagreb"
"208","Belovar Zlatarski","49228","Brestovec Orehovički","Krapinsko-zagorska"
"209","Belski Ravan","51301","Brod na Kupi","Primorsko-goranska"
"210","Beljevina","31511","Đurđenovac","Osječko-baranjska"
"211","Bencani","52428","Oprtalj (Portole)","Istarska"
"212","Bencetići","47201","Draganići","Karlovačka"
"213","Benčani","52463","Višnjan (Visignano)","Istarska"
"214","Benčići","52425","Roč","Istarska"
"215","Benčići","52341","Žminj","Istarska"
"216","Beničanci","31542","Magadenovac","Osječko-baranjska"
"217","Benići","51260","Crikvenica","Primorsko-goranska"
"218","Benići Drivenički","51242","Drivenik","Primorsko-goranska"
"219","Benkovac","35430","Okučani","Brodsko-posavska"
"220","Benkovac","23420","Benkovac","Zadarska"
"221","Benkovac Fužinski","51322","Fužine","Primorsko-goranska"
"222","Benkovačko Selo","23420","Benkovac","Zadarska"
"223","Benkovec","42253","Bednja","Varaždinska"
"224","Benkovec Petrovski","49234","Petrovsko","Krapinsko-zagorska"
"225","Benkovići","51242","Drivenik","Primorsko-goranska"
"226","Benkovo","49218","Pregrada","Krapinsko-zagorska"
"227","Berak","32243","Orolik","Vukovarsko-srijemska"
"228","Beram","52000","Pazin","Istarska"
"229","Beravci","35221","Velika Kopanica","Brodsko-posavska"
"230","Berek","43232","Berek","Bjelovarsko-bilogorska"
"231","Beretinec","42201","Beretinec","Varaždinska"
"232","Berislavec","10380","Sveti Ivan Zelina","Zagrebačka"
"233","Bertelovci","34308","Jakšić","Požeško-slavonska"
"234","Bertoši","52000","Pazin","Istarska"
"235","Bestovje","10437","Bestovje","Zagrebačka"
"236","Bestrma","44211","Blinjski Kut","Sisačko-moslavačka"
"237","Bešinci","34334","Kaptol","Požeško-slavonska"
"238","Bešlinec","10312","Kloštar Ivanić","Zagrebačka"
"239","Beter","10450","Jastrebarsko","Zagrebačka"
"240","Betina","22244","Betina","Šibensko-kninska"
"241","Bezavina/dio/ (1-25)","49215","Tuhelj","Krapinsko-zagorska"
"242","Bezavina/dio/ 26-dalje","49214","Veliko Trgovišće","Krapinsko-zagorska"
"243","Bibali","52460","Buje (Buie)","Istarska"
"244","Bibići","52342","Svetvinčenat","Istarska"
"245","Bibinje","23205","Bibinje","Zadarska"
"246","Bicko Selo","35212","Garčin","Brodsko-posavska"
"247","Bičići","52207","Barban","Istarska"
"248","Bičine","22222","Skradin","Šibensko-kninska"
"249","Bijela","43500","Daruvar","Bjelovarsko-bilogorska"
"250","Bijela Loza","31433","Podgorač","Osječko-baranjska"
"251","Bijela Stijena","35430","Okučani","Brodsko-posavska"
"252","Bijele Vode","44400","Glina","Sisačko-moslavačka"
"253","Bijele Zemlje","52429","Grožnjan (Grisignana)","Istarska"
"254","Bijeli Klanac","47242","Krnjak","Karlovačka"
"255","Bijeli Vir","20353","Mlinište","Dubrovačko-neretvanska"
"256","Bijelnik","44211","Blinjski Kut","Sisačko-moslavačka"
"257","Bijelo Brdo","31204","Bijelo Brdo","Osječko-baranjska"
"258","Bijeljevina Orahovička","33515","Orahovica","Virovitičko-podravska"
"259","Bikovec","42243","Maruševec","Varaždinska"
"260","Bila Vlaka","23422","Stankovci","Zadarska"
"261","Bilaj","53000","Gospić","Ličko-senjska"
"262","Bile","51252","Klenovica","Primorsko-goranska"
"263","Bili Brig","35410","Nova Kapela","Brodsko-posavska"
"264","Bilice","34310","Pleternica","Požeško-slavonska"
"265","Bilice","22000","Šibenik","Šibensko-kninska"
"266","Bilišane","23450","Obrovac","Zadarska"
"267","Bilo","47222","Cetingrad","Karlovačka"
"268","Bilje","31327","Bilje","Osječko-baranjska"
"269","Biljevec","42243","Maruševec","Varaždinska"
"270","Biljevina","51317","Crni Lug","Primorsko-goranska"
"271","Biljevine","53284","Sveti Juraj","Ličko-senjska"
"272","Biočić","22321","Siverić","Šibensko-kninska"
"273","Biograd na moru","23210","Biograd na moru","Zadarska"
"274","Biokovsko Selo","21270","Zagvozd","Splitsko-dalmatinska"
"275","Biorine","21244","Cista Velika","Splitsko-dalmatinska"
"276","Biovičino Selo","22305","Kistanje","Šibensko-kninska"
"277","Birovača","53250","Donji Lapac","Ličko-senjska"
"278","Bisag","42225","Breznički Hum","Varaždinska"
"279","Bisko","21232","Dicmo","Splitsko-dalmatinska"
"280","Biskupija","22300","Knin","Šibensko-kninska"
"281","Bistrač","44210","Sunja","Sisačko-moslavačka"
"282","Bistrica","33520","Slatina","Virovitičko-podravska"
"283","Bistrinci","31551","Belišće","Osječko-baranjska"
"284","Bišćanovo","44400","Glina","Sisačko-moslavačka"
"285","Biševo","21485","Komiža","Splitsko-dalmatinska"
"286","Biškupci","34330","Velika","Požeško-slavonska"
"287","Biškupec Zelinski","10380","Sveti Ivan Zelina","Zagrebačka"
"288","Bitorajci","47251","Bosiljevo","Karlovačka"
"289","Bizovac","31222","Bizovac","Osječko-baranjska"
"290","Bjelajci","34550","Pakrac","Požeško-slavonska"
"291","Bjelajci","34553","Bučje","Požeško-slavonska"
"292","Bjelanovac","34551","Lipik","Požeško-slavonska"
"293","Bjelina","23420","Benkovac","Zadarska"
"294","Bjeliševac","34340","Kutjevo","Požeško-slavonska"
"295","Bjelkovac","33518","Nova Bukovica","Virovitičko-podravska"
"296","Bjelopolje","53230","Korenica","Ličko-senjska"
"297","Bjelovar","43000","Bjelovar","Bjelovarsko-bilogorska"
"298","Blaca","21210","Solin","Splitsko-dalmatinska"
"299","Blace","20357","Blace","Dubrovačko-neretvanska"
"300","Blacko","34310","Pleternica","Požeško-slavonska"
"301","Blagaj","47240","Slunj","Karlovačka"
"302","Blagdanići","52446","Nova Vas","Istarska"
"303","Blagorodovac","43507","Uljanik","Bjelovarsko-bilogorska"
"304","Blaguša","10362","Kašina","Grad zagreb"
"305","Blanje","31540","Donji Miholjac","Osječko-baranjska"
"306","Blaškovec","10382","Donja Zelina","Zagrebačka"
"307","Blaškovići","51244","Grižane","Primorsko-goranska"
"308","Blaškovići","52232","Kršan","Istarska"
"309","Blata","47306","Saborsko","Karlovačka"
"310","Blatna Vas","52425","Roč","Istarska"
"311","Blatnica","43246","Štefanje","Bjelovarsko-bilogorska"
"312","Blatnica Pokupska","47204","Šišljavić","Karlovačka"
"313","Blato","20271","Blato","Dubrovačko-neretvanska"
"314","Blato","20225","Babino Polje","Dubrovačko-neretvanska"
"315","Blato na Cetini","21254","Blato na Cetini","Splitsko-dalmatinska"
"316","Blatuša","44410","Gvozd","Sisačko-moslavačka"
"317","Blaževci","51328","Lukovdol","Primorsko-goranska"
"318","Blaževdol","10380","Sveti Ivan Zelina","Zagrebačka"
"319","Blažević Dol","35414","Vrbova","Brodsko-posavska"
"320","Blažići","51243","Tribalj","Primorsko-goranska"
"321","Blinja","44211","Blinjski Kut","Sisačko-moslavačka"
"322","Blinjska Greda","44211","Blinjski Kut","Sisačko-moslavačka"
"323","Blinjski Kut","44211","Blinjski Kut","Sisačko-moslavačka"
"324","Blizna Donja","21228","Blizna Donja","Splitsko-dalmatinska"
"325","Blizna Gornja","21228","Blizna Donja","Splitsko-dalmatinska"
"326","Bobare","35430","Okučani","Brodsko-posavska"
"327","Bobodol","22303","Oklaj","Šibensko-kninska"
"328","Bobota","32225","Bobota","Vukovarsko-srijemska"
"329","Bobovac","44210","Sunja","Sisačko-moslavačka"
"330","Bobovec Rozganski","10293","Dubravica","Zagrebačka"
"331","Bobovec Tomaševečki","49290","Klanjec","Krapinsko-zagorska"
"332","Bobovica","10430","Samobor","Zagrebačka"
"333","Bobovišća","21404","Ložišća","Splitsko-dalmatinska"
"334","Bobovje","49000","Krapina","Krapinsko-zagorska"
"335","Bocanjevci","31550","Valpovo","Osječko-baranjska"
"336","Bockovac","31540","Donji Miholjac","Osječko-baranjska"
"337","Bočadir","49282","Konjščina","Krapinsko-zagorska"
"338","Bočaki","49282","Konjščina","Krapinsko-zagorska"
"339","Bočkinci","31552","Podgajci Podravski","Osječko-baranjska"
"340","Bočkovec","48267","Orehovec","Koprivničko-križevačka"
"341","Bodegraj","35430","Okučani","Brodsko-posavska"
"342","Bodovaljci","35422","Zapolje","Brodsko-posavska"
"343","Bogačevo","48267","Orehovec","Koprivničko-križevačka"
"344","Bogačevo Riječko","48268","Gornja Rijeka","Koprivničko-križevačka"
"345","Bogatić","22324","Drinovci","Šibensko-kninska"
"346","Bogatić Prominski","22303","Oklaj","Šibensko-kninska"
"347","Bogatnik","23450","Obrovac","Zadarska"
"348","Bogdanovci","32000","Vukovar","Vukovarsko-srijemska"
"349","Bogdanovec","40306","Macinec","Međimurska"
"350","Bogdanovići","21227","Primorski Dolac","Splitsko-dalmatinska"
"351","Bogdašići","34322","Brestovac","Požeško-slavonska"
"352","Bogomolje","21467","Gdinj","Splitsko-dalmatinska"
"353","Bogovci","47271","Netretić","Karlovačka"
"354","Bogovići","51511","Malinska","Primorsko-goranska"
"355","Bogovolja","47222","Cetingrad","Karlovačka"
"356","Bojačno","49296","Zagorska Sela","Krapinsko-zagorska"
"357","Bojana","43240","Čazma","Bjelovarsko-bilogorska"
"358","Bojna","44400","Glina","Sisačko-moslavačka"
"359","Bojnikovec","48265","Raven","Koprivničko-križevačka"
"360","Bok Palanječki","44000","Sisak","Sisačko-moslavačka"
"361","Bokane","33522","Voćin","Virovitičko-podravska"
"362","Bokordići","52342","Svetvinčenat","Istarska"
"363","Bokšić","31511","Đurđenovac","Osječko-baranjska"
"364","Bokšić","32238","Čakovci","Vukovarsko-srijemska"
"365","Bokšić Lug","31511","Đurđenovac","Osječko-baranjska"
"366","Bol","21420","Bol","Splitsko-dalmatinska"
"367","Bolč","10344","Farkaševac","Zagrebačka"
"368","Bolfan","42230","Ludbreg","Varaždinska"
"369","Bolman","31323","Bolman","Osječko-baranjska"
"370","Bolomače","34322","Brestovac","Požeško-slavonska"
"371","Boljenovići","20230","Ston","Dubrovačko-neretvanska"
"372","Boljevići","52232","Kršan","Istarska"
"373","Boljun","52434","Boljun","Istarska"
"374","Boljunsko Polje","52434","Boljun","Istarska"
"375","Bonaci","52445","Baderna","Istarska"
"376","Boraja","22206","Boraja","Šibensko-kninska"
"377","Borak","21310","Omiš","Splitsko-dalmatinska"
"378","Borenec","42225","Breznički Hum","Varaždinska"
"379","Boričevci","34322","Brestovac","Požeško-slavonska"
"380","Boričevec Toplički","42223","Varaždinske Toplice","Varaždinska"
"381","Borićevac","53250","Donji Lapac","Ličko-senjska"
"382","Borik","33517","Mikleuš","Virovitičko-podravska"
"383","Borinići","52207","Barban","Istarska"
"384","Boriš","43505","Končanica (Končenice)","Bjelovarsko-bilogorska"
"385","Borje","48269","Kalnik","Koprivničko-križevačka"
"386","Borkovec","49250","Zlatar","Krapinsko-zagorska"
"387","Borojevci","31416","Levanjska Varoš","Osječko-baranjska"
"388","Borojevići","44431","Donji Kukuruzari","Sisačko-moslavačka"
"389","Borova","33410","Suhopolje","Virovitičko-podravska"
"390","Borova Kosa","43531","Veliki Bastaji","Bjelovarsko-bilogorska"
"391","Borovac","44323","Rajić","Sisačko-moslavačka"
"392","Borovci","20278","Nova Sela","Dubrovačko-neretvanska"
"393","Borovik","31418","Drenje","Osječko-baranjska"
"394","Borovik","21483","Podšpilje","Splitsko-dalmatinska"
"395","Borovita","44400","Glina","Sisačko-moslavačka"
"396","Borovljani","48000","Koprivnica","Koprivničko-križevačka"
"397","Borovo","32227","Borovo","Vukovarsko-srijemska"
"398","Borut","52402","Cerovlje","Istarska"
"399","Bosanci","47251","Bosiljevo","Karlovačka"
"400","Bosanka","20207","Mlini","Dubrovačko-neretvanska"
"401","Bosiljevo","47251","Bosiljevo","Karlovačka"
"402","Bosiljevo","43240","Čazma","Bjelovarsko-bilogorska"
"403","Bosna","10381","Bedenica","Zagrebačka"
"404","Boševci","47280","Ozalj","Karlovačka"
"405","Boškari","52342","Svetvinčenat","Istarska"
"406","Bošnjaci","32275","Bošnjaci","Vukovarsko-srijemska"
"407","Bošt","47250","Duga Resa","Karlovačka"
"408","Botinac","43203","Kapela","Bjelovarsko-bilogorska"
"409","Botinec","10020","Zagreb-Novi Zagreb","Grad zagreb"
"410","Botinovec","48311","Kunovec","Koprivničko-križevačka"
"411","Botovo","48322","Drnje","Koprivničko-križevačka"
"412","Bović","44410","Gvozd","Sisačko-moslavačka"
"413","Božava","23286","Božava","Zadarska"
"414","Božjakovina","10370","Dugo Selo","Zagrebačka"
"415","Bračak","49210","Zabok","Krapinsko-zagorska"
"416","Bračevci","31423","Bračevci","Osječko-baranjska"
"417","Bračević","21206","Donje Ogorje","Splitsko-dalmatinska"
"418","Bračević","21203","Donji Muć","Splitsko-dalmatinska"
"419","Bradišće","10430","Samobor","Zagrebačka"
"420","Brajakovo Brdo","47271","Netretić","Karlovačka"
"421","Brajdić Selo","47245","Rakovica","Karlovačka"
"422","Brajkovići","52000","Pazin","Istarska"
"423","Brajkovići","52352","Kanfanar","Istarska"
"424","Bralići","52450","Vrsar (Orsera)","Istarska"
"425","Branešci","34550","Pakrac","Požeško-slavonska"
"426","Branimirovac","31224","Koška","Osječko-baranjska"
"427","Branjin Vrh","31301","Branjin Vrh","Osječko-baranjska"
"428","Branjina","31303","Popovac","Osječko-baranjska"
"429","Braslovje","10430","Samobor","Zagrebačka"
"430","Brašina","20207","Mlini","Dubrovačko-neretvanska"
"431","Brašljevica","47284","Kašt","Karlovačka"
"432","Bratelji","10456","Kalje","Zagrebačka"
"433","Bratina","10451","Pisarovina","Zagrebačka"
"434","Bratiškovci","22222","Skradin","Šibensko-kninska"
"435","Bratkovec","49296","Zagorska Sela","Krapinsko-zagorska"
"436","Bratovanci","47282","Kamanje","Karlovačka"
"437","Bratovići","52445","Baderna","Istarska"
"438","Bratovski Vrh","49290","Klanjec","Krapinsko-zagorska"
"439","Bratulići","52207","Barban","Istarska"
"440","Bratuljevci","34322","Brestovac","Požeško-slavonska"
"441","Bratuš","21320","Baška Voda","Splitsko-dalmatinska"
"442","Brbinj","23285","Brbinj","Zadarska"
"443","Brcković Draga","47261","Zvečaj","Karlovačka"
"444","Brckovljani","10370","Dugo Selo","Zagrebačka"
"445","Brčevec","10340","Vrbovec","Zagrebačka"
"446","Brčići","52444","Tinjan","Istarska"
"447","Brčići","52446","Nova Vas","Istarska"
"448","Brčino","35252","Sibinj","Brodsko-posavska"
"449","Brdce","51214","Šapjane","Primorsko-goranska"
"450","Brdo","52462","Momjan (Momiano)","Istarska"
"451","Brdo Cirkvensko","48214","Sveti Ivan Žabno","Koprivničko-križevačka"
"452","Brdo Jesenjsko","49233","Gornje Jesenje","Krapinsko-zagorska"
"453","Brdo Orehovečko","48267","Orehovec","Koprivničko-križevačka"
"454","Brdo Utinjsko","47220","Vojnić","Karlovačka"
"455","Brdovec","10291","Prigorje Brdovečko","Zagrebačka"
"456","Brđani","35252","Sibinj","Brodsko-posavska"
"457","Brđani","35422","Zapolje","Brodsko-posavska"
"458","Brđani Cesta","44211","Blinjski Kut","Sisačko-moslavačka"
"459","Brđani Dapčevački","43290","Grubišno Polje","Bjelovarsko-bilogorska"
"460","Brđani Kosa","44211","Blinjski Kut","Sisačko-moslavačka"
"461","Brđani Sokolovački","48306","Sokolovac","Koprivničko-križevačka"
"462","Brebernica","10257","Brezovica","Grad zagreb"
"463","Brebornica","47242","Krnjak","Karlovačka"
"464","Brebrovac","10450","Jastrebarsko","Zagrebačka"
"465","Brečevići","52444","Tinjan","Istarska"
"466","Brečići","20278","Nova Sela","Dubrovačko-neretvanska"
"467","Breg","52220","Labin","Istarska"
"468","Breg Mokrički","10380","Sveti Ivan Zelina","Zagrebačka"
"469","Bregana","10432","Bregana","Zagrebačka"
"470","Bregana Pisarovinska","10451","Pisarovina","Zagrebačka"
"471","Breganica","10432","Bregana","Zagrebačka"
"472","Bregi","51211","Matulji","Primorsko-goranska"
"473","Bregi Kostelski","49218","Pregrada","Krapinsko-zagorska"
